# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
transmettre	24.74
bourrer	24.73
vomir	24.71
impressionner	24.62
déshabiller	24.60
écrier	24.59
soucier	24.54
envisager	24.53
jaillir	24.52
impliquer	24.45
heurter	24.42
protester	24.36
marrer	24.35
dénoncer	24.31
nier	24.22
percevoir	24.21
ralentir	24.19
manifester	24.16
situer	24.14
boucler	24.03
tremper	24.02
péter	23.97
enregistrer	23.90
consoler	23.80
annuler	23.79
destiner	23.76
déborder	23.69
précéder	23.66
ressortir	23.46
émouvoir	23.45
réjouir	23.31
concevoir	23.30
dépenser	23.26
assassiner	23.07
gémir	23.04
sacrifier	22.94
aborder	22.87
délivrer	22.80
communiquer	22.79
découper	22.71
insulter	22.62
semer	22.61
garer	22.60
redouter	22.58
adopter	22.52
loger	22.39
pourrir	22.38
renseigner	22.37
envier	22.34
citer	22.30
défaire	22.27
évanouir	21.93
distraire	21.88
étirer	21.78
filmer	21.77
apaiser	21.76
défiler	21.73
bâtir	21.59
introduire	21.55
bousculer	21.55
correspondre	21.54
hocher	21.47
encourager	21.41
déménager	21.37
mépriser	21.31
projeter	21.26
déclencher	21.07
cuire	21.03
sacrer	20.99
sucer	20.98
développer	20.91
affecter	20.72
suicider	20.72
compliquer	20.58
circuler	20.50
contacter	20.50
torturer	20.48
aspirer	20.46
décoller	20.44
bouleverser	20.41
procurer	20.37
bavarder	20.31
étrangler	20.31
planquer	20.27
bondir	20.25
consentir	20.25
geler	20.22
réciter	20.20
féliciter	20.19
raccompagner	20.14
prolonger	20.13
plaquer	20.08
animer	20.03
ronger	20.03
redescendre	19.99
recueillir	19.98
replier	19.98
cueillir	19.82
distribuer	19.80
chuchoter	19.80
clore	19.52
effondrer	19.49
tâcher	19.45
consister	19.43
procéder	19.39
séduire	19.36
apprêter	19.30
pratiquer	19.23
réchauffer	19.21
éliminer	19.16
border	19.12
recommander	19.11
doubler	19.06
fasciner	19.06
voter	19.06
succéder	19.02
enchanter	19.00
acquérir	18.98
grouiller	18.96
contrer	18.93
balader	18.91
errer	18.90
figer	18.84
déboucher	18.83
fourrer	18.81
célébrer	18.79
isoler	18.77
abîmer	18.76
boucher	18.73
surmonter	18.71
déployer	18.68
longer	18.65
aviser	18.63
lécher	18.60
mélanger	18.60
gueuler	18.55
agacer	18.52
résonner	18.52
rembourser	18.48
imprimer	18.45
trancher	18.35
basculer	18.32
garantir	18.28
flatter	18.20
préoccuper	18.18
fendre	18.17
atterrir	18.06
nouer	18.05
dégoûter	17.98
honorer	17.95
préserver	17.88
écouler	17.82
divorcer	17.80
calculer	17.75
absorber	17.66
entamer	17.61
débattre	17.53
relâcher	17.42
rétablir	17.37
combler	17.36
empoisonner	17.31
